CD_CVM,TICKER,DENOM_SOCIAL,DENOM_COMERC,SETOR_ATIV,PF_PJ,CNPJ,DT_REG,DT_CONST,DT_CANCEL,MOTIVO_CANCEL,SIT_REG,DT_INI_SIT,SIT_EMISSOR,DT_INI_SIT_EMISSOR,CATEG_REG,DT_INI_CATEG,AUDITOR,CNPJ_AUDITOR,TP_ENDER,LOGRADOURO,COMPL,BAIRRO,CIDADE,UF,PAIS,CD_POSTAL,TEL,FAX,EMAIL,TP_RESP,RESP,DT_INI_RESP,LOGRADOURO_RESP,COMPL_RESP,BAIRRO_RESP,CIDADE_RESP,UF_RESP,PAIS_RESP,CEP_RESP,TEL_RESP,FAX_RESP,EMAIL_RESP,TP_MERC
2119,,CANADENSE SA INDUSTRIA E PNEUS AGRICOLA,CANADENSE,"Máquinas, Equipamentos, Veículos e Peças",PJ,1.5333E+12,7/20/1977,,3/22/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,3/22/2005,,,,,AUDITEC AUDITORES INDEP SC,7.21068E+11,SEDE,ALAMEDA DAS ROSAS 375,,SANTO OESTE,GOIÂNIA,GO,BRASIL,,(62) 99722030,(62) 2126055,,DIRETOR DE RELAÇÕES COM INVESTIDORES,GALILEU DE SOUZA BORGES,7/20/1977,ALAMEDA DAS ROSAS 375,,SETOR OESTE,GOIÂNIA,GO,,74110060,(62) 99722030,(62) 2126055,,BALCÃO NÃO ORGANIZADO
2127,,CARAMURU ALIMENTOS DE MILHO SA,CARAMURU,ALIMENTOS,PJ,7.91199E+13,7/16/1982,,3/26/1986,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,3/26/1986,,,,,,,SEDE,"AV.GOV.ROBERTO SILVEIRA,129",,,APUCARANA,PR,BRASIL,,(0434) 222300,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,CESAR BORGES DE SOUZA,7/16/1982,"R.BOA VISTA,185/5 ANDVEIRA,129",,,SÃO PAULO,SP,,1014000,(11) 222300,,,BALCÃO NÃO ORGANIZADO
2135,,CARFEPE SA - ADMINISTRADORA E PARTICIPADORA,CARFEPE,Emp. Adm. Part. - Sem Setor Principal,PJ,2.56339E+13,7/20/1977,9/26/1966,1/4/2010,Cancelamento de ofício - IN CVM 480/09,CANCELADA,1/4/2010,,,Categoria A,1/1/2010,PELEGRINI & RODRIGUES AUDITORES INDEPENDENTES S/S,3.60424E+12,SEDE,"AV. DO BÁLSAMO, 298 - PRÉDIO A",- S. 101,JARAGUÁ,UBERLÂNDIA,MG,BRASIL,,(34) 32367677,(34) 32367677,Carfepe@granjaplanalto.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,MAURO DE FREITAS PEREIRA,9/2/2005,"AV. DO BáLSAMO, 298",,JARAGUA,UBERLÂNDIA,MG,,38413135,(34) 32331001,(34) 32307688,DIRETORIA@GRANJAPLANALTO.COM.BR,BALCÃO NÃO ORGANIZADO
2143,,CARIRI INDUSTRIAL DE OLEOS SA,CARIRI INDUSTRIAL DE OLEOS SA,ALIMENTOS,PJ,7.57306E+12,7/20/1977,2/20/1978,5/7/2010,Cancelamento Voluntário - IN CVM 480/09,CANCELADA,5/7/2010,,,Categoria A,1/1/2010,CONTROLE AUDITORES INDEPENDENTES - EPP,1.17733E+13,SEDE,AV PADRE CICERO KM 2,,CENTRO,JUAZEIRO DO NORTE,CE,BRASIL,,(85) 7110728,(85) 2380141,vilmamendes@baydenet.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,MARIA VILMA RODRIGUES MENDES,7/20/1977,RUA GUILHERME ROCHA 1380,SALA 202,JACARECANGA,FORTALEZA,CE,,60030141,(85) 32380141,(85) 32821678,VILMA_MENDES2007@HOTMAIL.COM,BALCÃO NÃO ORGANIZADO
2178,,CASA ANGLO BRASILEIRA S/A,MAPPIN,COMÉRCIO (ATACADO E VAREJO),PJ,6.15655E+13,7/20/1977,,8/9/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,8/9/2005,,,,,SOTECONTI AUDITORES INDEP SC,6.09112E+13,SEDE,R CONS CRISPINIANO 120/7º AND,7º ANDAR,,SÃO PAULO,SP,BRASIL,,(11) 2144411,(11) 2141901,,DIRETOR DE RELAÇÕES COM INVESTIDORES,LEONEL POZZI,7/20/1977,R CONS CRISPINIANO 120/7º,7º ANDAR,,SÃO PAULO,SP,,1037000,(11) 2144411,(11) 2141901,,BALCÃO NÃO ORGANIZADO
2186,,CASA DICO SA COM E INDUSTRIA,CASA DICO,,PJ,9.26929E+13,9/9/1969,,6/5/1987,,CANCELADA,6/5/1987,,,,,,,SEDE,AV FARRAPOS 235,,,PORTO ALEGRE,RS,BRASIL,,,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANTONIO SOARES BARROS NETO,9/9/1969,,,,,,,,,,,BALCÃO NÃO ORGANIZADO
2194,,CASA JOSE SILVA CONFECCOES SA,CASA JOSE SILVA,COMÉRCIO (ATACADO E VAREJO),PJ,3.30249E+13,7/20/1977,,12/30/1998,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,12/30/1998,,,,,MPCN SISTEMAS CONTÁBEIS E AUDITORIA S/S,3.19312E+13,SEDE,RUA ANA NERI 924,,,RIO DE JANEIRO,RJ,BRASIL,,(21) 25816622,(21) 25812321,,DIRETOR DE RELAÇÕES COM INVESTIDORES,CLAUDIO LUIZ DUARTE ESTEVES,7/20/1977,RUA ANA NERI 924,,,RIO DE JANEIRO,RJ,,20911160,(21) 5816622,(0021) 5812321,,BOLSA
2208,,CASA MASSON SA COM E INDUSTRIA,CASA MASSON,COMÉRCIO (ATACADO E VAREJO),PJ,9.27957E+13,7/20/1977,,3/22/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,3/22/2005,,,,,AUDITASSE AUDITORES INDEPENDENTES S/S,4.21858E+13,SEDE,RUA DOS ANDRADAS 1459,,,PORTO ALEGRE,RS,BRASIL,,(21) 22227726,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,JORGE FRANKE GEYER,7/20/1977,"RUA XV DE NOVEMBRO,324",,,SÃO PAULO,SP,,1092000,(11) 2390711,,,BOLSA
2216,,CASAS DA BANHA COMERCIO E INDUSTRIA SA,CASAS DA BANHA,COMÉRCIO (ATACADO E VAREJO),PJ,3.32569E+13,7/20/1977,,12/20/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,12/20/2005,,,,,AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S,4.21655E+13,SEDE,"R.DA PROCLAMACAO,855 - BONSUC.",,,RIO DE JANEIRO,RJ,BRASIL,,(21) 25905122,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,CARLOS ALBERTO JAHEL,7/20/1977,R DA PROCLAMACAO 855 3 ANDAR,,,RIO DE JANEIRO,RJ,,21040000,(21) 5905122,,,BALCÃO NÃO ORGANIZADO
2224,,LUMIERE SA,SULMALHAS,TEXTIL E VESTUÁRIO,PJ,8.46846E+13,10/22/1980,,2/14/2007,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,2/14/2007,,,,,MARTINELLI AUDITORES,7.93705E+13,SEDE,RUA 15 DE NOVEMBRO 563,,CENTRO,BLUMENAU,SC,BRASIL,,(0474) 334144,(0474) 334748,,DIRETOR DE RELAÇÕES COM INVESTIDORES,HELIO VIEIRA JUNIOR,10/22/1980,"RUA LUIZ DELFINO, 863",,,JOINVILLE,SC,,89200000,(0474) 224144,,,BALCÃO NÃO ORGANIZADO
2259,,CAUCAIA INDUSTRIAL SA CAISA,CAISA,ALIMENTOS,PJ,7.13886E+12,7/20/1977,,2/17/1997,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,2/17/1997,,,,,KPMG AUDITORES ASSOCIADOS,5.28032E+13,SEDE,"R.PLACIDO MONTEIRO GONDIN, 101",,,CAUCAIA,CE,BRASIL,,(85) 3421400,(85) 3421201,,DIRETOR DE RELAÇÕES COM INVESTIDORES,JOSE LEITE DA SILVA,7/20/1977,"R.PLACIDO MONTEIRO GONDIN, 101",,,CAUCAIA,CE,,61600000,(85) 3420318,,,BALCÃO NÃO ORGANIZADO
2275,,CBEI CIA BRASILEIRA ENGENHARIA E INDUSTRIA,CBEI,"Construção Civil, Mat. Constr. e Decoração",PJ,3.30537E+13,7/20/1977,,8/9/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,8/9/2005,,,,,,,SEDE,R VISCONDE INHAUMA 38 6/7 AND,,,RIO DE JANEIRO,RJ,BRASIL,,,,,,,,,,,,,,,,,,BALCÃO NÃO ORGANIZADO
2283,,CBH CIA BRAS HABITACAO,CBH,"Construção Civil, Mat. Constr. e Decoração",PJ,6.04022E+13,7/22/1983,,3/4/1985,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,3/4/1985,,,,,,,SEDE,"RUA BOA VISTA, 254/3 AND/C.215",,,SÃO PAULO,SP,BRASIL,,(11) 370113,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,AFIF CURY,7/22/1983,"RUA BOA VISTA, 254/3 AND/C.315",,,SÃO PAULO,SP,,1014000,(11) 370113,,,BALCÃO NÃO ORGANIZADO
2291,,VEPLAN SA,CBPI,CRÉDITO IMOBILIÁRIO,PJ,4.22746E+13,7/20/1977,,3/22/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,3/22/2005,,,,,RUHTRA S/C,3.30173E+13,SEDE,AV CHURCHILL 109/1301,,CENTRO,RIO DE JANEIRO,RJ,BRASIL,,(21) 22152079,(21) 22152079,,DIRETOR DE RELAÇÕES COM INVESTIDORES,GERALDO REZENDE BARBOSA MELLO,7/20/1977,R BUENOS AIRES 68/19 ANDAR,,,RIO DE JANEIRO,RJ,,20075000,(21) 2875566,(0021) 5213242,,BALCÃO NÃO ORGANIZADO
2305,,CBV INDUSTRIA MECANICA SA,CBV IND MECANICA,"Máquinas, Equipamentos, Veículos e Peças",PJ,3.30512E+13,7/7/1971,,5/13/1999,ELISÃO POR INCORPORAÇÃO,CANCELADA,5/13/1999,,,,,WALTER HEUER AUDITORES INDEPENDENTES,6.14114E+13,SEDE,"ROD PRES DUTRA 2660 KM 2,5",,,RIO DE JANEIRO,RJ,BRASIL,,(21) 33620202,(21) 24714129,,DIRETOR DE RELAÇÕES COM INVESTIDORES,APARECIDO MARQUES PEREIRA,7/7/1971,"ROD. PRESIDENTE  DUTRA, 2660",,PAVUNA,RIO DE JANEIRO,RJ,,21538900,(21) 33620170,(0021) 4712149,,BOLSA
2313,,CBV EQUIPAMENTOS INDS SA,CBV EQUIP INDS,"Máquinas, Equipamentos, Veículos e Peças",PJ,1.52341E+13,10/20/1977,,12/4/1987,ELISÃO POR INCORPORAÇÃO,CANCELADA,12/4/1987,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,"VIA PENETRACAO III,519",,,SIMÕES FILHO,BA,BRASIL,,(71) 2639330,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANTONIO CARLOS S. B. VIANNA,10/20/1977,"AV.PRES.VARGAS,534-20.ANDAR",,,RIO DE JANEIRO,RJ,,20071000,(21) 5949200,,,BALCÃO NÃO ORGANIZADO
2321,,CBV NORDESTE IND MECANICA SA,CBV NORDESTE,"Máquinas, Equipamentos, Veículos e Peças",PJ,1.52131E+13,11/29/1976,,8/15/1994,ELISÃO POR INCORPORAÇÃO,CANCELADA,8/15/1994,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,VIA PENETRACAO 111 519,,,SIMÕES FILHO,BA,BRASIL,,(71) 5948544,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANTONIO CARLOS S. B. VIANNA,11/29/1976,R SETE DE SETEMBRO 111 S 2201,,,RIO DE JANEIRO,RJ,,20050000,(21) 2246227,,,BALCÃO NÃO ORGANIZADO
2330,,CCC CIA DE CARBONOS COLOIDAIS,CARBONOS COLOIDAIS,Petroquímicos e Borracha,PJ,1.51097E+13,2/2/1979,,12/20/2005,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,12/20/2005,,,,,BIANCHESSI & CIA AUDITORES,9.266E+13,SEDE,AV COSTA LIMA 420 BR 116 KM 37,,CATOLE,HORIZONTE,CE,BRASIL,,(71) 8011411,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,WILSON DE OLIVEIRA MACEDO,2/2/1979,ROD SALVADOR CANDEIAS KM 42,,,CANDEIAS,BA,,43800000,(71) 8011411,,,BALCÃO NÃO ORGANIZADO
2348,,CCE IND COM,CCE,"Máquinas, Equipamentos, Veículos e Peças",PJ,6.13451E+13,3/19/1981,,3/12/1986,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,3/12/1986,,,,,,,SEDE,"AV.OTAVIANO ALVES DE LIMA,2724",,,SÃO PAULO,SP,BRASIL,,(11) 8573144,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,JOSE RADOMYSLER,3/19/1981,"AV.OTAVIANO ALVES DE LIMA,2724",,,SÃO PAULO,SP,,2501000,(11) 8573144,,,BALCÃO NÃO ORGANIZADO
2356,,CEAGESP CIA ENTR ARM GERAIS SP,CEAGESP,Serviços Transporte e Logística,PJ,6.2463E+13,12/29/1981,,3/27/1996,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,3/27/1996,,,,,TRÍADE AUDITORES INDEPENDENTES,6.09028E+13,SEDE,"AV.DR.GASTAO VIDIGAL,1946",,,SÃO PAULO,SP,BRASIL,,(11) 8312013,(11) 2616886,,DIRETOR DE RELAÇÕES COM INVESTIDORES,NEWTON SENRA PEREIRA,12/29/1981,"AV.DR.GASTAO VIDIGAL, 1946",,,SÃO PAULO,SP,,5316900,(11) 8316396,,,BALCÃO NÃO ORGANIZADO
2380,,BCO CEDULA SA,CEDULA CFI,BANCOS,PJ,3.3132E+13,7/20/1977,,9/22/1992,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,9/22/1992,,,,,AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S,4.21655E+13,SEDE,"RUA GONCALVES DIAS, 65",,,RIO DE JANEIRO,RJ,BRASIL,,(21) 22215512,,BANCOCEDULA@BANCOCEDULA.COM.BR,DIRETOR DE RELAÇÕES COM INVESTIDORES,IMRE KISS,7/20/1977,"RUA GONCALVES DIAS, 65",,,RIO DE JANEIRO,RJ,,20050000,(21) 2215512,,,BOLSA
2399,,CELITE SA IND E COMERCIO,CELITE,EXTRAÇÃO MINERAL,PJ,6.11357E+13,1/22/1982,,6/29/1999,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,CANCELADA,6/29/1999,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,"AV BRASIL, 1937",,JARDIM AMERICA,SÃO PAULO,SP,BRASIL,,(11) 30649122,(11) 30644145,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANTON PATRICK LECHTSEINER,1/22/1982,AV PADRE NATAL PIGGATO 974,,,CAMPO LARGO,PR,,83607240,(41) 3911408,(041) 2923678,,BALCÃO NÃO ORGANIZADO
2402,,CELM CIA EQUIP LABS MODERNOS,CELM CIA EQUIP. DE LABORATORIOS MODERNOS,"Máquinas, Equipamentos, Veículos e Peças",PJ,6.10868E+13,4/5/1972,6/25/1958,1/4/2011,Cancelamento de ofício - IN CVM 480/09,CANCELADA,1/4/2011,,,Categoria A,1/1/2010,BINAH SP AUDITORES INDEPENDENTES,4.71745E+13,SEDE,"ALAMEDA AMAZONAS, 764",,ALPHAVILLE,BARUERI,SP,BRASIL,,(11) 41335200,(11) 41335200,carlos@celm.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,CARLOS ALEXANDRE BONATTI,9/25/2009,"ALAMEDA AMAZONAS, 764",,ALPHAVILLE,BARUERI,SP,,6454070,(11  ) 41335200,(11  ) 41335200,CARLOS@CELM.COM.BR,BOLSA
2429,RANI,IRANI PAPEL E EMBALAGEM S.A.,IRANI PAPEL E EMBALAGEM S.A.,PAPEL E CELULOSE,PJ,9.27912E+13,7/20/1977,6/6/1941,,,ATIVO,7/20/1977,FASE OPERACIONAL,7/20/1977,Categoria A,1/1/2010,KPMG AUDITORES INDEPENDENTES,5.77552E+13,SEDE,"Rua General João Manoel, 157",9° andar,Centro,PORTO ALEGRE,RS,BRASIL,,(51) 32203542,(51) 32203757,ri@irani.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,ODIVAN CARLOS CARGNIN,12/8/2006,"RUA GENERAL JOAO MANOEL,157",10ºº ANDAR,CENTRO,PORTO ALEGRE,RS,,90010030,(51) 32203516,(51) 32203751,ri@irani.com.br,BOLSA
2437,ELET,CENTRAIS ELETRICAS BRASILEIRAS SA,ELETROBRAS,ENERGIA ELÉTRICA,PJ,1180000126,1/28/1971,4/25/1961,,,ATIVO,1/28/1971,FASE OPERACIONAL,1/28/1971,Categoria A,1/1/2010,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,SCN Setor Comercial Norte,Quadra 06 Conjunto A,Asa Norte,,DF,BRASIL,,(61) 33297300,(61) 33297315,francisco.duarte@eletrobras.com,DIRETOR DE RELAÇÕES COM INVESTIDORES,ELVIRA BARACUHY CAVALCANTI PRESTA,3/12/2019,"RUA DA QUITANDA, 196",23º ANDAR,CENTRO,RIO DE JANEIRO,RJ,,20091005,(21) 25146333,(0) 0,paula.rodrigues@eletrobras.com,BOLSA
2445,,CELG DISTRIBUIÇÃO S.A.,CELG D,ENERGIA ELÉTRICA,PJ,1.54303E+12,8/17/1971,8/19/1955,4/29/2008,ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02,CANCELADA,4/29/2008,,,,,KPMG AUDITORES ASSOCIADOS,5.28032E+13,SEDE,RUA 2 QD. A-37 S/N ED.GILENO,GODOI,JARDIM GOIÁS,GOIÂNIA,GO,BRASIL,,(62) 2431040,(62) 2431063,celg@celg.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,ENIO ANDRADE BRANCO,6/7/2005,RUA 2 QD. A-37 S/N ED. GILENO,GODOI,JARDIM GOIÁS,GOIÂNIA,GO,,74805180,(62) 32431050,(62) 32431080,ENIO.AB@CELG.COM.BR,BOLSA
2453,CMIG,CIA ENERG MINAS GERAIS - CEMIG,CEMIG,ENERGIA ELÉTRICA,PJ,1.71557E+13,6/30/1971,5/22/1952,,,ATIVO,6/30/1971,FASE OPERACIONAL,6/30/1971,Categoria A,1/1/2010,ERNST & YOUNG AUDITORES INDEPENDENTES S/S,6.13669E+13,SEDE,"Avenida Barbacena, 1200",5º / B1,Santo Agostinho,BELO HORIZONTE,MG,BRASIL,,(31) 35065024,(31) 35065026,ri@cemig.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,MAURÍCIO FERNANDES LEONARDO JÚNIOR,3/8/2018,"AV.: BARBACENA, 1200",5º ANDAR/B1,SANTO AGOSTINHO,BELO HORIZONTE,,,30190131,(031) 35065024,(031) 35065026,ri@cemig.com.br,BOLSA
2461,CLSC,CENTRAIS ELETRICAS DE SANTA CATARINA S.A,CELESC,ENERGIA ELÉTRICA,PJ,8.38789E+13,3/26/1973,1/30/1956,,,ATIVO,3/26/1973,FASE OPERACIONAL,3/26/1973,Categoria A,1/1/2010,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,"Avenida Itamarati, 160",Itacorubi,Itacorubi,FLORIANÓPOLIS,SC,BRASIL,,(48) 32315000,(48) 32316039,asri@celesc.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,CLAUDINE FURTADO ANCHITE,5/14/2019,"RUA ARNO HOERSCHL, 361",APTO 1201,CENTRO,FLORIANÓPOLIS,SC,,88015620,(48) 3231601,(0) 0,ri@celesc.com.br,BOLSA
2470,,CEPEBE SA,CEPEBE,"Máquinas, Equipamentos, Veículos e Peças",PJ,6.17084E+13,9/24/1970,,7/6/1987,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,7/6/1987,,,,,RUBENS COLTRO,854433872,SEDE,"AV. DAS NACOES UNIDAS,19667",,,SÃO PAULO,SP,BRASIL,,(11) 5231177,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,JOSE E.P.BARRETTO FILHO,9/24/1970,"AV.DAS NACOES UNIDAS,19667",,,SÃO PAULO,SP,,4795000,(11) 5231177,,,BALCÃO NÃO ORGANIZADO
2488,,CERAMICA CHIARELLI SA - EM RECUPERAÇÃO JUDICIAL,CHIARELLI,"Construção Civil, Mat. Constr. e Decoração",PJ,5.27368E+13,4/3/1973,3/17/1961,11/30/2016,Cancelamento de ofício - IN CVM 480/09,CANCELADA,11/30/2016,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,1/5/2009,Categoria A,1/1/2010,TBRT - ITIKAWA AUDITORES INDEPENDENTES,3.56624E+12,SEDE,Rua Domingos Brunelli,180,Centro,MOGI GUAÇU,SP,BRASIL,,(19) 38610642,(19) 38610842,diretoria@chiarelli.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,CAIO ALBINO DE SOUZA,12/18/2008,"RUA DOMINGOS BRUNELLI, 180",,CENTRO,MOGI GUAÇU,SP,,13840020,(19) 38610642,(19) 38610842,diretoria@chiarelli.com.br,BOLSA
2496,,CECASA,CECASA,EXTRAÇÃO MINERAL,PJ,7.17401E+12,9/26/1962,,3/21/2006,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98,CANCELADA,3/21/2006,,,,,BIANCHESSI & CIA AUDITORES,9.266E+13,SEDE,ROD CE 96 S/Nº KM 03,,ZONA RURAL,BARBALHA,CE,BRASIL,,(85) 5320266,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,HERIALDO MATOS RAMOS,9/26/1962,RUA MONSENHOR ESMERALDO 647,,,CRATO,CE,,60000000,(85) 2277101,,,BALCÃO NÃO ORGANIZADO
2500,,CERAMICA PORTO FERREIRA SA,CER PORTO FERREIRA,EXTRAÇÃO MINERAL,PJ,5.51864E+13,5/23/1973,,10/6/1995,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,CANCELADA,10/6/1995,,,,,BIANCHESSI & CIA  AUDITORES,6.08495E+13,SEDE,"AV. 24 DE OUTUBRO, 1",,,PORTO FERREIRA,SP,BRASIL,,(0195) 811736,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,NICOLAU DE VERGUEIRO FORJAZ,5/23/1973,"AV.24 DE OUTUBRO, 1",,,PORTO FERREIRA,SP,,13660000,(0195) 811736,,,BALCÃO NÃO ORGANIZADO
2518,,CERAMICA SANTA MARCIA SA,CERAMICA STA MARCIA,EXTRAÇÃO MINERAL,PJ,1.30349E+13,12/7/1973,,12/10/1987,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,12/10/1987,,,,,PAULO RIBEIRO,4311957734,SEDE,MARGENS DO RIO POXIM S/Nº,CP 103,DISTRITO INDUSTRIAL,ARACAJU,SE,BRASIL,,(79) 2182425,(79) 2491672,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ANTONIO AUGUSTO LEITE FRANCO,12/7/1973,MARGENS DO RIO POXIM DIST INDL,,,ARACAJU,SE,,49000000,(79) 2312425,,,BALCÃO NÃO ORGANIZADO
2526,,CERAMICA SANTO ANTONIO SA,CESA,EXTRAÇÃO MINERAL,PJ,1.07912E+13,12/27/1971,,10/16/1987,ELISÃO POR INCORPORAÇÃO,CANCELADA,10/16/1987,,,,,VILLARIM DIAS SC AUD INDEP,9.28955E+12,SEDE,"AV.SANTOS DUMONT, 657",,,RECIFE,PE,BRASIL,,(81) 2414544,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ROBERTO DE BRITO A VEIGA,12/27/1971,AV SANTOS DUMONT 657,,,RECIFE,PE,,50000000,(81) 2414544,,,BALCÃO NÃO ORGANIZADO
2542,,CERAMICA SAO JOSE GUACU,CERAMICA SAO JOSE,EXTRAÇÃO MINERAL,PJ,5.27368E+13,10/29/1974,,9/12/1988,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,CANCELADA,9/12/1988,,,,,DE CICCO AUDITORIA EMPL SC,5.17089E+13,SEDE,"AV. MOJI MIRIM, 296",,,MOGI GUAÇU,SP,BRASIL,,(0192) 610579,,,DIRETOR DE RELAÇÕES COM INVESTIDORES,ROBERTO SIMONI,10/29/1974,"AV. MOJI MIRIM, 296",,,MOGI GUAÇU,SP,,13840000,(0192) 610579,,,BOLSA
2577,CESP,CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO,CESP CIA ENERGETICA SAO PAULO,ENERGIA ELÉTRICA,PJ,6.09336E+13,9/27/1971,12/6/1966,,,ATIVO,9/27/1971,FASE OPERACIONAL,9/27/1971,Categoria A,1/1/2010,BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES,5.42769E+13,SEDE,"Avenida Nossa Senhora do Sabará, 5312",Escritório 05,Pedreira,SÃO PAULO,SP,BRASIL,,(11) 56132100,(11) 56117994,inform@cesp.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,MARIO ANTONIO BERTONCINI,3/1/2019,AV. NOSSA SENHORA DO SABARÁ,ESCRITÓRIO 5,PEDREIRA,SÃO PAULO,SP,,4447011,(11) 56133869,(11) 56133869,ricesp@cesp.com.br,BOLSA
2585,,CETENCO ENGENHARIA SA,CETENCO,"Construção Civil, Mat. Constr. e Decoração",PJ,6.15505E+13,7/20/1977,12/10/1956,11/22/2002,ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02,CANCELADA,11/22/2002,,,,,PADRAO AUDITORIA S/S,6.71853E+13,SEDE,"RUA MARIA PAULA, 36",,BELA VISTA,SÃO PAULO,SP,BRASIL,,(11) 32414633,(11) 31077546,con@cetenco.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,MARCO ANTONIO MALZONI,7/20/1977,"RUA MARIA PAULA, 36 8º ANDAR",,BELA VISTA,SÃO PAULO,SP,,1319000,(11) 32414633,(11) 31077546,Dir.@cetenco.com.br,BOLSA
2593,,BUNGE ALIMENTOS SA,BUNGE ALIMENTOS SA,ALIMENTOS,PJ,8.40461E+13,7/20/1977,1/1/1972,10/8/2002,ELISÃO POR INCORPORAÇÃO,CANCELADA,10/8/2002,,,,,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES,6.15621E+13,SEDE,RODOVIA JORGE LACERDA S/Nº  KM,20,POÇO GRANDE,GASPAR,SC,BRASIL,,(47) 3312051,(0047) 3312005,mnotrispe@bunge.com.br,DIRETOR DE RELAÇÕES COM INVESTIDORES,MILTON NOTRISPE,7/20/1977,RODOVIA JORGE LACERDA S/Nº KM,20,POÇO GRANDE,GASPAR,SC,,89110000,(47) 3312222,(47) 3312005,mnotrisp@bunge.com.br,BOLSA
